,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
147736,V5141,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,364352400.0,0,1,0,1,0,1,0,0,1,1,0,4217 days 01:00:00,23,4217,1932059.3546186665,6182589909.224905
147807,V5285,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,625.95,363920400.0,0,1,0,1,0,1,0,0,1,1,0,4212 days 01:00:00,23,4212,1932059.3546186665,6182589909.224905
147989,V5624,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,363056400.0,0,1,0,1,0,1,0,0,1,1,0,4202 days 01:00:00,23,4202,1932059.3546186665,6182589909.224905
148177,V6005,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,360810000.0,0,1,0,1,0,1,0,0,1,1,0,4176 days 01:00:00,23,4176,1932059.3546186665,6182589909.224905
148441,V6555,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,625.95,357699600.0,0,1,0,1,0,1,0,0,1,1,0,4140 days 01:00:00,23,4140,1932059.3546186665,6182589909.224905
148510,V6689,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,0,250.38,356058000.0,0,1,0,1,0,1,0,0,1,1,0,4121 days 01:00:00,23,4121,1932059.3546186665,6182589909.224905
148556,V6770,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,250.38,171594000.0,0,0,0,1,0,1,0,0,1,1,0,1986 days 01:00:00,23,1986,1932059.3546186665,6182589909.224905
148847,V7324,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,142,662.7,0,655.99,142304400.0,0,0,0,1,0,1,0,0,1,1,0,1647 days 01:00:00,23,1647,1932059.3546186665,6182589909.224905
149028,V7687,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,144291600.0,0,0,0,1,0,1,0,0,1,1,0,1670 days 01:00:00,23,1670,1932059.3546186665,6182589909.224905
149039,V7714,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,143946000.0,0,0,0,1,0,1,0,0,1,1,0,1666 days 01:00:00,23,1666,1932059.3546186665,6182589909.224905
149136,V7899,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,142390800.0,0,0,0,1,0,1,0,0,1,1,0,1648 days 01:00:00,23,1648,1932059.3546186665,6182589909.224905
149199,V8016,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,141613200.0,0,0,0,1,0,1,0,0,1,1,0,1639 days 01:00:00,23,1639,1932059.3546186665,6182589909.224905
149202,V8022,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,141526800.0,0,0,0,1,0,1,0,0,1,1,0,1638 days 01:00:00,23,1638,1932059.3546186665,6182589909.224905
149267,V8154,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,65.6,139798800.0,0,0,0,1,0,1,0,0,1,1,0,1618 days 01:00:00,23,1618,1932059.3546186665,6182589909.224905
149536,V8649,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.4,134784000.0,0,0,0,1,0,1,0,0,1,1,0,1560 days 00:00:00,23,1560,1932059.3546186665,6182589909.224905
149653,V8837,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,262.0,121827600.0,0,0,0,1,0,1,0,0,1,1,0,1410 days 01:00:00,23,1410,1932059.3546186665,6182589909.224905
149681,V8871,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,65.5,121309200.0,0,0,0,1,0,1,0,0,1,1,0,1404 days 01:00:00,23,1404,1932059.3546186665,6182589909.224905
149683,V8873,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,65.5,121309200.0,0,0,0,1,0,1,0,0,1,1,0,1404 days 01:00:00,23,1404,1932059.3546186665,6182589909.224905
149686,V8877,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,142,0.0,0,65.5,121309200.0,0,0,0,1,0,1,0,0,1,1,0,1404 days 01:00:00,23,1404,1932059.3546186665,6182589909.224905
