,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
1224,A20896,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18576000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1272,A21259,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,36.0,22204800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1278,A21299,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,16160400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1297,A21435,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,20563200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1339,A21853,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,19958400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1366,A22056,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,22.0,16765200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1414,A22473,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,16416000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1458,A22794,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,20822400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1496,A2321,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19353600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1517,A23372,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,19872000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1526,A2344,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19267200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1528,A23447,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17103600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1610,A2432,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19267200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1635,A2449,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19008000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1673,A2481,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,18748800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1857,A26404,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,22.0,15202800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
1989,A2756,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19612800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2152,A2925,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19785600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2155,A2928,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19699200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2245,A30209,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,38.0,37497600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2313,A30945,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,20217600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2346,A31332,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,16160400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2479,A3231,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17798400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2495,A3242,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17798400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2552,A328,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20908800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2646,A3353,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17712000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2735,A3425,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17452800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2817,A35116,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,19526400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2849,A35375,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,15811200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2860,A3555,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24624000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2890,A35831,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17712000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2905,A35943,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,17280000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2947,A36463,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,18576000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
2968,A36646,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,19785600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3014,A37226,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,16498800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3033,A37402,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,15980400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3042,A37504,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,22.0,17967600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3111,A38622,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,19004400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3208,A39665,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,17802000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3209,A39670,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,17456400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3340,A41102,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,23.0,15210000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3394,A41586,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,20912400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3431,A419,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,21600000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3461,A42256,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,17802000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3474,A42401,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,15469200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3627,A43923,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,19098000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3629,A43945,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,18579600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3667,A44256,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,19098000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3676,A44347,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,19789200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3684,A44389,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,23673600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3746,A44870,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,18493200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3757,A44941,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,18320400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3788,A45272,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,17974800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3826,A45523,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,15555600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3855,A46062,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,17024400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3859,A46088,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,38.0,16592400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3901,A495,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,28252800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3927,A5438,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19177200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3956,A5881,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19177200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
3977,A6021,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19436400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4009,A6260,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17535600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4027,A6362,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,16844400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4040,A6511,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,18399600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4054,A657,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,21168000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4077,A6668,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17794800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4086,A6739,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,18313200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4088,A6746,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,18226800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4130,A6963,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,18054000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4136,A7025,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17103600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4155,A7099,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,16326000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4157,A7102,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,17794800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4173,A7195,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,16844400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4212,A7659,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,16066800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4227,A7913,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,22.0,24192000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4286,A861,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,19094400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4289,A8682,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,36.0,15202800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4507,C19525,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,36.0,16592400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4513,C19625,0,0,1,0,0,0,0,0,1,1,0,0,0,180,0.0,0,36.0,23760000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4514,C19626,0,0,1,0,0,0,0,0,1,1,0,0,0,193,0.0,0,742.0,23068800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4515,C19627,0,0,1,0,0,0,0,0,1,1,0,0,0,180,0.0,0,370.0,23068800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4568,C22383,0,0,1,0,0,0,0,0,1,1,0,0,0,146,0.0,2,39.0,16765200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4666,N100121,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24364800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4692,N100435,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,20649600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4716,N100550,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,22032000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4720,N100572,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24105600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4721,N100574,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24105600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4734,N100786,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,21.0,22464000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4751,N101055,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,22982400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4763,N101126,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20908800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4767,N101143,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,20649600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4785,N101277,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,22118400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4815,N101651,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24019200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4816,N101657,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,24019200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4823,N101789,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,21945600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4826,N101878,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,22636800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4835,N102071,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,19094400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4861,N102337,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,21859200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4879,N102503,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,22809600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4884,N102535,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,22550400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
4910,N102849,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,35.0,21686400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5005,N24426,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,31.3,18658800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5010,N24552,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,31.3,15811200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5016,N24674,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,18.78,20998800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5193,N31815,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,31.3,35424000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5234,N33141,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.8,33350400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5361,N35589,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.8,22809600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5411,N36208,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,22978800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5605,N38612,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16066800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5630,N38910,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,19.0,17967600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5722,N39711,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16153200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5833,N40418,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,33.6,15634800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
5840,N40508,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16585200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6010,N41891,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,17024400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6351,N45151,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0.0,0,19.0,18144000.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6377,N45463,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16239600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6378,N45466,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16153200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6390,N45587,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,17798400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6392,N45616,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,17017200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6407,N45901,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,16585200.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6414,N45990,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,32.0,15202800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6455,N46698,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,33.6,19954800.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6480,N47108,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,33.6,19436400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6482,N47124,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,33.6,19263600.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
6491,N47217,0,0,1,0,0,0,0,0,1,1,0,0,0,157,0.0,0,33.6,19868400.0,0,0,0,0,0,0,1,0,0,222011.7873383694,22112372626.470123
