,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
362,S82002,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,15.16,158,0.0,0,137.55,264733200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
380,S98706,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,7,0.0,0,68.77,232851600.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
392,V15303,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,142,0.0,2,286.5,196822800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
393,V15453,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,142,0.0,2,286.5,192412800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
395,V16201,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,142,0.0,2,286.5,163386000.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
398,V17378,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,142,0.0,10,742.5,112582800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
409,V4290,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.41,142,0.0,0,250.38,375062400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
410,V4425,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.41,142,0.0,0,250.38,372211200.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
418,V5141,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.46,142,0.0,0,250.38,364352400.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
435,V7415,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,6.71,142,0.0,0,262.4,331174800.0,0,1,0,1,0,1,0,0,1,1,0,1401584.0492575392,9670929232.160805
505,A8980,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,26.0,157,196.0,0,74.0,98064000.0,1,1,1,1,0,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
532,A34160,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,7,0.0,0,74.0,114998400.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
534,A36913,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,157,0.0,0,74.0,105318000.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
545,N87114,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,106527600.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
553,S127899,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,158,0.0,0,148.0,114307200.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
565,V15722,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,142,0.0,2,286.5,98146800.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
588,A24549,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,157,0.0,0,74.0,121046400.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
589,A26417,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,7,0.0,0,44.0,120873600.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
590,A26425,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,7,0.0,0,44.0,118368000.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
591,A27571,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,157,0.0,0,74.0,118281600.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
592,N102144,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,170470800.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
593,N91819,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,177123600.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
594,S116262,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,158,0.0,0,71.5,166755600.0,0,1,1,1,0,1,1,1,1,1,0,1401584.0492575392,9670929232.160805
630,N100627,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,173149200.0,0,1,1,1,0,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
636,S121172,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,26.0,157,49.0,0,74.0,113533200.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
644,N98929,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,173322000.0,0,1,0,1,0,1,0,0,1,1,1,1401584.0492575392,9670929232.160805
645,N99647,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,22.0,157,0.0,0,71.5,173062800.0,0,1,1,1,0,1,1,1,1,1,1,1401584.0492575392,9670929232.160805
658,S95307,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,11.6,7,0.0,0,68.77,148262400.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
659,V10556,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,16.0,142,0.0,0,262.0,107485200.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
660,V17438,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,142,0.0,5,297.0,118972800.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
661,V17555,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,26.0,142,0.0,5,297.0,113011200.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
662,V10968,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.0,142,157.87,0,275.1,103417200.0,0,1,1,1,1,1,1,0,1,1,1,1401584.0492575392,9670929232.160805
663,V18308,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,26.0,142,0.0,5,312.0,96937200.0,0,1,1,1,1,1,1,0,1,1,0,1401584.0492575392,9670929232.160805
