,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Payment,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@NIL,event:expense,event:article,event:paymentAmount,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
24,P1039,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,7,62.0,124.0,0,47.0,54777600.0,2,0,1,0,1,0,1,1,0
25,P3181,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,7,23.0,124.0,0,47.0,30326400.0,2,0,1,0,1,0,1,1,0
26,P3774,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,7,23.0,85.0,0,47.0,23238000.0,2,0,1,0,1,0,1,1,0
27,S100113,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,16.6,158,54.15,154.15,0,137.55,52009200.0,2,0,1,0,1,0,1,1,0
28,S103923,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,158,50.0,154.0,2,143.0,43549200.0,2,0,1,0,1,0,1,1,0
29,S110012,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,7,46.0,128.5,0,71.5,33782400.0,2,0,1,0,1,0,1,1,0
30,S110812,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,14.25,158,80.25,157.25,0,143.0,52448400.0,2,0,1,0,1,0,1,1,0
31,S110984,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,7,36.5,82.5,0,71.5,23500800.0,2,0,1,0,1,0,1,1,0
32,S120935,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,158,41.0,161.0,2,148.0,45363600.0,2,0,1,0,1,0,1,1,0
33,S125782,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,38.0,127.5,0,74.0,44154000.0,2,0,1,0,1,0,1,1,0
34,S126824,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,38.0,125.5,0,74.0,51152400.0,2,0,1,0,1,0,1,1,0
35,S126834,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,87.5,175.0,0,74.0,63676800.0,2,0,1,0,1,0,1,1,0
36,S128003,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,87.5,175.0,0,74.0,54864000.0,2,0,1,0,1,0,1,1,0
37,S128332,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,21.0,91.0,0,77.5,79318800.0,2,0,1,0,1,0,1,1,0
38,S128343,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,59.0,169.0,0,155.5,72748800.0,2,0,1,0,1,0,1,1,0
39,S132942,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,59.0,169.0,0,155.5,79574400.0,2,0,1,0,1,0,1,1,0
40,S135829,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,191,101.0,313.0,5,299.5,44755200.0,2,0,1,0,1,0,1,1,0
41,S135857,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,69.0,169.0,2,155.5,85021200.0,2,0,1,0,1,0,1,1,0
42,S137851,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,39.5,169.0,0,155.5,81392400.0,2,0,1,0,1,0,1,1,0
43,S139578,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,39.5,130.5,0,77.5,34646400.0,2,0,1,0,1,0,1,1,0
44,S140458,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,21.0,91.0,0,77.5,86140800.0,2,0,1,0,1,0,1,1,0
45,S141836,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,29.0,169.0,2,155.5,74048400.0,2,0,1,0,1,0,1,1,0
46,S142972,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,173,110.5,310.5,5,297.0,66963600.0,2,0,1,0,1,0,1,1,0
47,S144351,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,21.0,91.0,0,77.5,72320400.0,2,0,1,0,1,0,1,1,0
48,S146365,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,49.0,169.0,2,155.5,61689600.0,2,0,1,0,1,0,1,1,0
49,S146788,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,29.0,169.0,2,155.5,40089600.0,2,0,1,0,1,0,1,1,0
50,S147012,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,23.0,91.0,0,77.5,55468800.0,2,0,1,0,1,0,1,1,0
51,S148807,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,25.0,91.0,0,77.5,56246400.0,2,0,1,0,1,0,1,1,0
52,S149898,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,29.0,169.0,2,155.5,54349200.0,2,0,1,0,1,0,1,1,0
53,S152077,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,13.5,7,43.0,163.0,0,149.5,53744400.0,2,0,1,0,1,0,1,1,0
54,S152752,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,32.0,91.0,0,77.5,54954000.0,2,0,1,0,1,0,1,1,0
55,S153190,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,31.0,91.0,0,77.5,42685200.0,2,0,1,0,1,0,1,1,0
56,S153988,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,31.0,91.0,0,77.5,25315200.0,2,0,1,0,1,0,1,1,0
57,S160058,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,113.0,169.0,0,155.5,38019600.0,2,0,1,0,1,0,1,1,0
58,S161067,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,89.0,169.0,0,155.5,32317200.0,2,0,1,0,1,0,1,1,0
59,S162944,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,43.0,93.0,0,79.5,31276800.0,2,0,1,0,1,0,1,1,0
60,S164115,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,65.5,172.5,0,159.0,23414400.0,2,0,1,0,1,0,1,1,0
61,S165393,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,158,54.0,174.0,2,159.0,27997200.0,2,0,1,0,1,0,1,1,0
62,S169523,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,158,60.0,174.0,2,159.0,23418000.0,2,0,1,0,1,0,1,1,0
63,S172017,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,158,54.0,174.0,2,159.0,25315200.0,2,0,1,0,1,0,1,1,0
64,S69015,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,6.71,7,26.09,72.31,0,65.6,32832000.0,2,0,1,0,1,0,1,1,0
65,S97004,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,16.6,157,72.0,85.37,0,68.77,60310800.0,2,0,1,0,1,0,1,1,0
66,V16241,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,142,97.5,297.5,2,286.5,34304400.0,2,0,1,0,1,0,1,1,0
67,V16369,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,11.0,142,108.0,308.0,2,286.5,30844800.0,2,0,1,0,1,0,1,1,0
68,V18685,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,142,125.5,325.5,5,312.0,76381200.0,2,0,1,0,1,0,1,1,0
69,C15958,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0.0,80,55.02,275.1,0,275.1,16930800.0,4,0,1,0,1,0,1,1,0
70,C22164,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,80,59.5,319.5,0,319.5,22896000.0,4,0,1,0,1,0,1,1,0
71,S136648,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,20.0,169.0,0,155.5,86403600.0,4,0,1,0,1,0,1,1,0
72,S160128,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,49.0,169.0,2,155.5,45277200.0,4,0,1,0,1,0,1,1,0
73,C18213,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0.0,94,150.0,600.0,0,720.83,42505200.0,3,1,1,0,1,0,1,1,0
74,C19089,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,20,6.5,286.5,0,286.5,70243200.0,7,0,1,0,1,0,1,1,0
75,C21050,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,173,117.0,297.0,5,297.0,76899600.0,3,0,1,0,1,0,1,1,0
76,C21409,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,23,224.5,779.5,0,779.5,55558800.0,3,0,1,0,1,0,1,1,0
77,C21806,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,80,87.0,312.0,0,312.0,42253200.0,3,0,1,0,1,0,1,1,0
78,S126633,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,38.0,163.5,0,74.0,55641600.0,3,0,1,0,1,0,1,1,0
79,S138644,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,43.5,169.0,0,155.5,75862800.0,3,0,1,0,1,0,1,1,0
80,S140614,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,157,25.0,91.0,0,77.5,83811600.0,3,0,1,0,1,0,1,1,0
81,S141622,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,44.0,169.0,2,155.5,77590800.0,3,0,1,0,1,0,1,1,0
82,S148176,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,7,25.0,91.0,0,77.5,64281600.0,3,0,1,0,1,0,1,1,0
83,S151460,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,109.0,169.0,0,155.5,56682000.0,3,0,1,0,1,0,1,1,0
84,S161394,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,104.0,413.0,0,798.0,23760000.0,3,0,1,0,1,0,1,1,0
85,S176305,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,113.0,413.0,0,798.0,22723200.0,3,0,1,0,1,0,1,1,0
86,S181475,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,15.0,7,50.0,168.0,0,153.0,23763600.0,3,0,1,0,1,0,1,1,0
87,V18990,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,142,40.5,333.0,3,319.5,27734400.0,3,0,1,0,1,0,1,1,0
88,C21281,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,80,124.0,624.0,0,624.0,67478400.0,5,0,1,0,1,0,1,1,0
89,S160068,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,173,52.5,310.5,5,297.0,33004800.0,5,0,1,0,1,0,1,1,0
90,S163907,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,146,55.0,321.5,6,306.5,33350400.0,5,0,1,0,1,0,1,1,0
91,V19190,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,142,69.5,334.5,3,319.5,34473600.0,5,0,1,0,1,0,1,1,0
92,C22750,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0.0,193,114.0,798.0,0,1597.0,24883200.0,6,0,1,0,1,0,1,1,0
93,V17050,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.0,142,70.0,310.0,5,297.0,66096000.0,6,0,1,0,1,0,1,1,0
94,V18678,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,142,25.5,325.5,5,312.0,83120400.0,6,0,1,0,1,0,1,1,0
95,V18883,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,142,65.0,325.5,5,312.0,54864000.0,6,0,1,0,1,0,1,1,0
96,V18977,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,142,65.0,325.5,5,312.0,50115600.0,6,0,1,0,1,0,1,1,0
97,C22811,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0.0,193,198.0,798.0,0,1597.0,19868400.0,6,0,1,0,1,0,1,1,0
98,C23364,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,80,322.0,1842.0,0,3684.5,9331200.0,4,0,1,0,1,0,1,1,0
99,L2393,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,103.25,413.0,0,798.0,11314800.0,3,0,1,0,1,0,1,1,0
100,S167117,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,180,104.0,413.0,0,798.0,21596400.0,3,0,1,0,1,0,1,1,0
101,S178436,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,193,101.63,406.52,0,1597.0,15984000.0,3,0,1,0,1,0,1,1,0
102,N67142,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,11.0,157,6.7,29.77,0,68.77,73008000.0,4,0,1,0,1,0,1,1,0
103,S136743,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,32.0,169.0,0,155.5,83034000.0,3,0,1,0,1,0,1,1,1
104,S142148,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,102.5,169.5,0,155.5,76554000.0,2,0,1,0,1,0,1,1,1
105,V19109,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,142,54.0,174.0,3,319.5,59616000.0,2,0,1,0,1,0,1,1,1
106,S144360,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,13.5,158,35.0,105.0,2,155.5,76550400.0,3,0,1,0,1,0,1,1,0
107,S159191,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,13.5,158,35.0,105.0,0,155.5,45878400.0,3,0,1,0,1,0,1,1,0
108,S150345,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,13.5,7,56.0,91.0,0,77.5,50288400.0,2,1,1,1,1,0,1,1,0
109,S154142,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,13.5,158,39.5,169.0,0,155.5,30326400.0,4,0,1,0,1,0,1,1,1
110,S161018,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,15.0,193,106.0,813.0,0,1597.0,27820800.0,7,0,1,0,1,0,1,1,0
111,V10395,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,142,92.0,272.0,0,262.0,119750400.0,2,0,1,0,1,0,1,1,1
112,V7767,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0.0,142,19.7,138.2,0,262.4,124329600.0,5,0,1,0,1,0,1,1,1
113,V8629,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,6.71,142,34.48,137.92,0,262.4,28162800.0,2,1,1,0,1,0,1,1,0
