,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@$,event:dismissal@G,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
60,N88123,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,20991600.0,0,1,1,1,1,1,1,0,1,1,0
61,N89169,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,24879600.0,0,1,1,1,1,1,1,0,1,1,0
62,N95819,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,32486400.0,0,1,1,1,1,1,1,0,1,1,0
63,N96209,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,26442000.0,0,1,1,1,1,1,1,0,1,1,0
64,N96404,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,25146000.0,0,1,1,1,1,1,1,0,1,1,0
65,N97252,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,32745600.0,0,1,1,1,1,1,1,0,1,1,0
66,S101858,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,86.0,0,16.0,71.5,32054400.0,0,1,1,1,1,1,1,0,1,1,0
67,S105816,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,30931200.0,0,1,1,1,1,1,1,0,1,1,0
68,S108166,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,164.0,0,22.0,143.0,23760000.0,0,1,1,1,1,1,1,0,1,1,0
69,S108592,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,32486400.0,0,1,1,1,1,1,1,0,1,1,0
70,S108599,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,72316800.0,0,1,1,1,1,1,1,0,1,1,0
71,S110874,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,27388800.0,0,1,1,1,1,1,1,0,1,1,0
72,S111806,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,25318800.0,0,1,1,1,1,1,1,0,1,1,0
73,S112303,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,35856000.0,0,1,1,1,1,1,1,0,1,1,0
74,S112318,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,24624000.0,0,1,1,1,1,1,1,0,1,1,0
75,S112876,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,31190400.0,0,1,1,1,1,1,1,0,1,1,0
76,S113862,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,25488000.0,0,1,1,1,1,1,1,0,1,1,0
77,S118003,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,92.0,0,22.0,71.5,26953200.0,0,1,1,1,1,1,1,0,1,1,0
78,S119490,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,94.0,0,22.0,74.0,37929600.0,0,1,1,1,1,1,1,0,1,1,0
79,S122495,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,98.0,0,26.0,74.0,19782000.0,0,1,1,1,1,1,1,0,1,1,0
80,S124069,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,25833600.0,0,1,1,1,1,1,1,0,1,1,0
81,S124964,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,98.0,0,26.0,74.0,16160400.0,0,1,1,1,1,1,1,0,1,1,0
82,S126311,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,174.0,0,26.0,148.0,21085200.0,0,1,1,1,1,1,1,0,1,1,0
83,S134395,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,102.0,0,26.0,77.5,27907200.0,0,1,1,1,1,1,1,0,1,1,0
84,S136662,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,102.0,0,26.0,77.5,28598400.0,0,1,1,1,1,1,1,0,1,1,0
85,S137801,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,102.0,0,26.0,77.5,25833600.0,0,1,1,1,1,1,1,0,1,1,0
86,S141719,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,102.0,0,26.0,77.5,22723200.0,0,1,1,1,1,1,1,0,1,1,0
87,S143222,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,102.0,0,26.0,77.5,66528000.0,0,1,1,1,1,1,1,0,1,1,0
88,S143841,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,7,174.0,0,26.0,149.5,31536000.0,0,1,1,1,1,1,1,0,1,1,0
89,S145559,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,182.0,0,26.0,155.5,25657200.0,0,1,1,1,1,1,1,0,1,1,0
90,S152848,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,182.0,2,26.0,155.5,49075200.0,0,1,1,1,1,1,1,0,1,1,0
91,S154803,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,182.0,0,26.0,155.5,36374400.0,0,1,1,1,1,1,1,0,1,1,0
92,S155224,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,26.0,77.5,17715600.0,0,1,1,1,1,1,1,0,1,1,0
93,S156072,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,102.0,0,26.0,77.5,22896000.0,0,1,1,1,1,1,1,0,1,1,0
94,S157544,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,26.0,79.5,18925200.0,0,1,1,1,1,1,1,0,1,1,0
95,S158671,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,72.0,0,26.0,46.0,58233600.0,0,1,1,1,1,1,1,0,1,1,0
96,S159547,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,102.0,0,26.0,77.5,26611200.0,0,1,1,1,1,1,1,0,1,1,0
97,S162016,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,102.0,0,26.0,77.5,19699200.0,0,1,1,1,1,1,1,0,1,1,0
98,S164068,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,26.0,79.5,50194800.0,0,1,1,1,1,1,1,0,1,1,0
99,S165015,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,186.0,0,26.0,159.0,25750800.0,0,1,1,1,1,1,1,0,1,1,0
100,S165199,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,186.0,0,26.0,159.0,30585600.0,0,1,1,1,1,1,1,0,1,1,0
101,S166756,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,76.0,0,26.0,47.0,33091200.0,0,1,1,1,1,1,1,0,1,1,0
102,S167474,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,26.0,79.5,14605200.0,0,1,1,1,1,1,1,0,1,1,0
103,S167695,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,186.0,0,26.0,159.0,22118400.0,0,1,1,1,1,1,1,0,1,1,0
104,S169296,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,104.0,0,26.0,79.5,22035600.0,0,1,1,1,1,1,1,0,1,1,0
105,S169749,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,108.0,0,30.0,79.5,26265600.0,0,1,1,1,1,1,1,0,1,1,0
106,S170021,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,104.0,0,26.0,79.5,30499200.0,0,1,1,1,1,1,1,0,1,1,0
107,S170542,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,0.0,79.5,16074000.0,0,1,1,1,1,1,1,0,1,1,0
108,S171398,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,104.0,0,26.0,79.5,37929600.0,0,1,1,1,1,1,1,0,1,1,0
109,S171543,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,108.0,0,30.0,79.5,23587200.0,0,1,1,1,1,1,1,0,1,1,0
110,S172353,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,25315200.0,0,1,1,1,1,1,1,0,1,1,0
111,S172519,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,108.0,0,30.0,79.5,24364800.0,0,1,1,1,1,1,1,0,1,1,0
112,S177486,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,29808000.0,0,1,1,1,1,1,1,0,1,1,0
113,S177952,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,104.0,0,30.0,79.5,15634800.0,0,1,1,1,1,1,1,0,1,1,0
114,S178522,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,25401600.0,0,1,1,1,1,1,1,0,1,1,0
115,S180067,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,19270800.0,0,1,1,1,1,1,1,0,1,1,0
116,S180251,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,108.0,0,30.0,79.5,17542800.0,0,1,1,1,1,1,1,0,1,1,0
117,S187549,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,108.0,0,30.0,79.5,15721200.0,0,1,1,1,1,1,1,0,1,1,0
118,S187820,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,18835200.0,0,1,1,1,1,1,1,0,1,1,0
119,S189847,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,190.0,0,30.0,159.0,16243200.0,0,1,1,1,1,1,1,0,1,1,0
120,S64456,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,79.03,0,13.43,65.6,32227200.0,0,1,1,1,1,1,1,0,1,1,0
121,S67063,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,79.3,0,13.43,65.6,20736000.0,0,1,1,1,1,1,1,0,1,1,0
122,S70727,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,77.0,0,13.0,65.5,33260400.0,0,1,1,1,1,1,1,0,1,1,0
123,S75463,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,80.0,0,16.0,65.5,31017600.0,0,1,1,1,1,1,1,0,1,1,0
124,S75544,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,77.0,0,13.0,65.5,25056000.0,0,1,1,1,1,1,1,0,1,1,0
125,S77522,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,158,146.0,0,16.0,131.0,33177600.0,0,1,1,1,1,1,1,0,1,1,0
126,S84959,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,152.5,0,16.0,137.55,28512000.0,0,1,1,1,1,1,1,0,1,1,0
127,S86324,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,83.2,0,16.0,68.77,33523200.0,0,1,1,1,1,1,1,0,1,1,0
128,S86512,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,83.2,0,16.0,68.77,36720000.0,0,1,1,1,1,1,1,0,1,1,0
129,S86513,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,83.2,0,16.0,68.77,36720000.0,0,1,1,1,1,1,1,0,1,1,0
130,S90472,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,152.5,0,16.0,137.55,25657200.0,0,1,1,1,1,1,1,0,1,1,0
131,S90473,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,152.5,0,16.0,137.55,24620400.0,0,1,1,1,1,1,1,0,1,1,0
132,S92532,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,83.2,0,16.0,68.77,29980800.0,0,1,1,1,1,1,1,0,1,1,0
133,S95270,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,83.2,0,16.0,68.77,27993600.0,0,1,1,1,1,1,1,0,1,1,0
134,V12217,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,291.1,0,16.0,275.1,27820800.0,0,1,1,1,1,1,1,0,1,1,0
135,V17023,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,322.0,5,26.0,297.0,35766000.0,0,1,1,1,1,1,1,0,1,1,0
136,V17546,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,322.0,5,26.0,297.0,17024400.0,0,1,1,1,1,1,1,0,1,1,0
137,V18195,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,174.0,5,26.0,297.0,26784000.0,0,1,1,1,1,1,1,0,1,1,0
138,V4509,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,263.29,0,12.91,250.38,26524800.0,0,1,1,1,1,1,1,0,1,1,0
139,A12414,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,157,0.0,0,22.0,74.0,21949200.0,0,1,1,1,1,1,1,0,1,1,0
140,A22043,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,7,0.0,0,26.0,44.0,22460400.0,0,1,1,1,1,1,1,0,1,1,0
141,A24387,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,157,0.0,0,26.0,74.0,21596400.0,0,1,1,1,1,1,1,0,1,1,0
142,A373,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,157,0.0,0,22.0,71.5,31795200.0,0,1,1,1,1,1,1,0,1,1,0
