,@@case_id_column,event:lastSent@N,event:lastSent@P,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
18,N35655,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,157,0.0,0,65.6,106102800.0,0,1,1,1,1,1,1,0,1,1,0
19,N35956,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,157,0.0,0,65.6,77331600.0,0,1,1,1,1,1,1,0,1,1,0
20,S131489,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,26.0,158,0.0,0,74.0,106095600.0,0,1,1,1,1,1,1,0,1,1,0
21,S63230,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,158,0.0,0,65.6,48301200.0,0,1,1,1,1,1,1,0,1,1,0
22,S65295,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,158,0.0,0,131.2,76726800.0,0,1,1,1,1,1,1,0,1,1,0
23,S68432,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,158,0.0,0,131.2,139626000.0,0,1,1,1,1,1,1,0,1,1,0
24,S69231,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,7,0.0,0,65.6,74653200.0,0,1,1,1,1,1,1,0,1,1,0
25,S71621,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.0,158,0.0,0,65.5,52362000.0,0,1,1,1,1,1,1,0,1,1,0
26,V17289,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,26.0,142,0.0,5,297.0,76291200.0,0,1,1,1,1,1,1,0,1,1,0
27,V7799,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,142,0.0,0,262.4,76208400.0,0,1,1,1,1,1,1,0,1,1,0
28,N35881,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,13.43,157,79.3,0,65.6,76035600.0,1,1,1,1,1,1,1,0,1,1,0
29,S66168,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,13.43,158,144.63,0,131.2,77763600.0,1,1,1,1,1,1,1,0,1,1,0
30,N36911,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,13.43,157,0.0,0,65.6,72406800.0,0,1,1,1,1,1,1,0,1,1,0
31,N39144,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,25.0,158,109.0,0,65.5,26265600.0,0,1,1,1,1,1,1,0,1,1,0
32,N55182,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,23245200.0,0,1,1,1,1,1,1,0,1,1,0
33,V7998,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,142,275.82,0,262.4,40525200.0,0,1,1,1,1,1,1,0,1,1,0
34,N93643,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,22.0,157,0.0,0,71.5,19530000.0,0,1,1,1,1,1,1,0,1,1,0
35,N95560,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,22.0,157,0.0,0,71.5,16419600.0,0,1,1,1,1,1,1,0,1,1,0
36,S43497,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,25.0,7,0.0,0,65.5,22723200.0,0,1,1,1,1,1,1,0,1,1,0
37,S99180,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,16.0,157,0.0,0,71.5,23760000.0,0,1,1,1,1,1,1,0,1,1,0
38,V12159,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,16.0,142,0.0,0,275.1,23245200.0,0,1,1,1,1,1,1,0,1,1,0
39,V12287,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,16.0,142,0.0,0,275.1,21344400.0,0,1,1,1,1,1,1,0,1,1,0
40,P3316,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,45.0,7,0.0,0,47.0,19353600.0,0,1,0,1,1,1,1,0,1,1,0
41,P5092,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,45.0,7,0.0,0,47.0,17625600.0,0,1,0,1,1,1,1,0,1,1,0
42,S179304,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,30.0,7,0.0,0,79.5,10713600.0,0,1,0,1,1,1,1,0,1,1,0
43,S182746,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,30.0,7,0.0,0,79.5,11926800.0,0,1,0,1,1,1,1,0,1,1,0
44,S188714,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,45.0,7,0.0,0,79.5,20649600.0,0,1,0,1,1,1,1,0,1,1,0
45,S190532,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,45.0,157,0.0,0,79.5,16412400.0,0,1,0,1,1,1,1,0,1,1,0
46,S66322,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,13.43,158,92.73,0,65.6,24451200.0,1,1,1,1,1,1,1,0,1,1,0
47,V12206,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,291.1,0,275.1,25660800.0,1,1,1,1,1,1,1,0,1,1,0
48,S69696,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,13.43,7,92.46,0,65.6,57974400.0,1,1,1,1,1,1,1,0,1,1,1
49,V16732,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,26.0,142,360.0,5,297.0,49165200.0,0,1,1,1,1,1,1,0,1,1,1
