,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@$,event:dismissal@G,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
185,N78887,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,80.5,0,22.0,71.5,53654400.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
187,N79670,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,80.5,0,22.0,71.5,53740800.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
189,N81502,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,161.0,0,22.0,71.5,69724800.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
192,N95813,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,157,92.0,0,22.0,71.5,50288400.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
194,S110886,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,7,93.5,0,22.0,71.5,72230400.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
198,S72867,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,41,143.0,0,13.0,131.0,59702400.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
199,V16462,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,176.0,2,22.0,286.5,54946800.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
200,V17003,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,323.0,5,26.0,297.0,59011200.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
202,V18348,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,310.0,5,0.0,312.0,76114800.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
234,N52887,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,16.0,68.77,153532800.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
250,N78749,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,16.0,71.5,123984000.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
251,S111662,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,158,0.0,0,11.0,143.0,89769600.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
252,S114719,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,22.0,71.5,83635200.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
253,S117574,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,26.0,74.0,112575600.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
254,S145804,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,158,0.0,0,26.0,155.5,81216000.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
255,V17076,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,142,0.0,5,26.0,297.0,83631600.0,0,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
262,S108264,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,158,107.0,0,22.0,71.5,58230000.0,1,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
263,V11633,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,142,153.55,0,0.0,275.1,59533200.0,1,1,1,1,1,1,1,0,1,1,1,507355.1628016944,1420594170.4918032
