,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:dismissal@4,event:dismissal@@,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:dismissal@Z,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Surprisingness,Effectiveness
5586,A39357,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5587,A39359,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94089600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5588,A39360,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94089600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5589,A39380,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5590,A39381,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5591,A39382,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5592,A39385,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5596,A39409,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94431600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5597,A39411,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94431600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5598,A39415,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94089600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5599,A39422,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5600,A39425,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5601,A39427,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93744000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5602,A39437,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93398400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5603,A39440,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93398400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5604,A39447,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92793600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5624,A39560,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5625,A39561,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5626,A39564,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5627,A39568,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5628,A39572,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93830400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5629,A39578,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93830400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5630,A39590,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93571200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5631,A39591,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93571200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5632,A39595,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93571200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5634,A39603,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,77.5,98233200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5672,A39834,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94604400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5673,A39840,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5674,A39847,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5675,A39851,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93312000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5676,A39858,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5677,A39862,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93052800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5678,A39871,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92966400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5679,A39875,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92707200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5680,A39877,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92707200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5689,A39909,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,96591600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5717,A40081,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,19.1,46.0,98319600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5727,A40110,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,123379200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5741,A40172,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94518000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5742,A40178,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94089600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5743,A40183,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93830400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5744,A40187,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93830400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5745,A40195,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92966400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5746,A40197,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92880000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5747,A40200,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92793600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5778,A40363,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,77.5,96246000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5780,A40368,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,19.1,77.5,96246000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5788,A40401,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5789,A40414,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93744000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5790,A40419,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93484800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5791,A40429,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93484800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5792,A40430,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93312000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5793,A40431,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,93312000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5794,A40443,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,13.5,46.0,92707200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5795,A40447,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92620800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5818,A40547,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94604400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5819,A40554,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92620800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5820,A40601,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94431600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5821,A40608,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94431600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5822,A40622,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5823,A40626,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94003200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5824,A40627,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93916800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5831,A40712,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93398400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5832,A40736,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92793600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5833,A40740,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,92793600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5839,A40789,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,95209200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5844,A40814,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,96159600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5850,A40863,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94518000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5851,A40865,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94431600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5852,A40868,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5853,A40869,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,94348800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5854,A40888,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93830400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5855,A40900,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93657600.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5861,A40919,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,7,0.0,0,19.1,46.0,95122800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5870,A40955,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93571200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5871,A40957,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93484800.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5872,A40960,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93398400.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5873,A40969,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93312000.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5874,A40973,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93139200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
5875,A40983,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,157,0.0,0,13.5,77.5,93139200.0,0,0,0,1,0,1,0,0,1,1,0,558009.3778846535,149937110395.2501
