,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@C,event:dismissal@D,event:dismissal@NIL,event:article,event:totalPaymentAmount,event:points,event:expense,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
59,A15282,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14173200.0,0,1,0,1,0,1,0,1,1,0
60,A15466,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14605200.0,0,1,0,1,0,1,0,1,1,0
61,A15493,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11667600.0,0,1,0,1,0,1,0,1,1,0
62,A15501,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12445200.0,0,1,0,1,0,1,0,1,1,0
63,A1581,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,18493200.0,0,1,0,1,0,1,0,1,1,0
64,A15963,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14778000.0,0,1,0,1,0,1,0,1,1,0
65,A15991,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141613200.0,0,1,0,1,0,1,0,1,1,0
66,A16149,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13737600.0,0,1,0,1,0,1,0,1,1,0
67,A16333,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,13741200.0,0,1,0,1,0,1,0,1,1,0
68,A16395,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13914000.0,0,1,0,1,0,1,0,1,1,0
69,A16427,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11149200.0,0,1,0,1,0,1,0,1,1,0
70,A16568,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13568400.0,0,1,0,1,0,1,0,1,1,0
71,A16698,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,141440400.0,0,1,0,1,0,1,0,1,1,0
72,A1693,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,19530000.0,0,1,0,1,0,1,0,1,1,0
73,A17014,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15987600.0,0,1,0,1,0,1,0,1,1,0
74,A17074,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,13222800.0,0,1,0,1,0,1,0,1,1,0
75,A17354,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140662800.0,0,1,0,1,0,1,0,1,1,0
76,A17360,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16592400.0,0,1,0,1,0,1,0,1,1,0
77,A17393,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140058000.0,0,1,0,1,0,1,0,1,1,0
78,A17416,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,74.0,17802000.0,0,1,0,1,0,1,0,1,1,0
79,A17457,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,18406800.0,0,1,0,1,0,1,0,1,1,0
80,A17829,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,21772800.0,0,1,0,1,0,1,0,1,1,0
81,A17991,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14000400.0,0,1,0,1,0,1,0,1,1,0
82,A18052,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,138848400.0,0,1,0,1,0,1,0,1,1,0
83,A18232,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,21254400.0,0,1,0,1,0,1,0,1,1,0
84,A18299,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,74.0,140403600.0,0,1,0,1,0,1,0,1,1,0
85,A18367,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17974800.0,0,1,0,1,0,1,0,1,1,0
86,A18455,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,140749200.0,0,1,0,1,0,1,0,1,1,0
87,A18514,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,13042800.0,0,1,0,1,0,1,0,1,1,0
88,A18576,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,20307600.0,0,1,0,1,0,1,0,1,1,0
89,A1866,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,18752400.0,0,1,0,1,0,1,0,1,1,0
90,A18693,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,136861200.0,0,1,0,1,0,1,0,1,1,0
91,A18790,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,19785600.0,0,1,0,1,0,1,0,1,1,0
92,A18934,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,18838800.0,0,1,0,1,0,1,0,1,1,0
93,A18985,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,21168000.0,0,1,0,1,0,1,0,1,1,0
94,A19163,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,18835200.0,0,1,0,1,0,1,0,1,1,0
95,A1921,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,17024400.0,0,1,0,1,0,1,0,1,1,0
96,A19294,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,19267200.0,0,1,0,1,0,1,0,1,1,0
97,A19336,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16074000.0,0,1,0,1,0,1,0,1,1,0
98,A19565,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,14432400.0,0,1,0,1,0,1,0,1,1,0
99,A19861,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,21340800.0,0,1,0,1,0,1,0,1,1,0
100,A1992,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,16419600.0,0,1,0,1,0,1,0,1,1,0
101,A19952,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17197200.0,0,1,0,1,0,1,0,1,1,0
102,A20005,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,19872000.0,0,1,0,1,0,1,0,1,1,0
103,A2016,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,11.0,71.5,17024400.0,0,1,0,1,0,1,0,1,1,0
104,A2027,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,16938000.0,0,1,0,1,0,1,0,1,1,0
105,A20315,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,14169600.0,0,1,0,1,0,1,0,1,1,0
106,A20342,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,11404800.0,0,1,0,1,0,1,0,1,1,0
107,A20488,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,20649600.0,0,1,0,1,0,1,0,1,1,0
108,A20564,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,18493200.0,0,1,0,1,0,1,0,1,1,0
109,A20609,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,18662400.0,0,1,0,1,0,1,0,1,1,0
110,A2061,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,16765200.0,0,1,0,1,0,1,0,1,1,0
111,A20814,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,20476800.0,0,1,0,1,0,1,0,1,1,0
112,A21010,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137638800.0,0,1,0,1,0,1,0,1,1,0
113,A21097,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,18316800.0,0,1,0,1,0,1,0,1,1,0
114,A213,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,16.6,42.5,29808000.0,0,1,0,1,0,1,0,1,1,0
115,A21335,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.5,44.0,104720400.0,0,1,0,1,0,1,0,1,1,0
116,A21555,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137898000.0,0,1,0,1,0,1,0,1,1,0
117,A21602,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,74.0,18838800.0,0,1,0,1,0,1,0,1,1,0
118,A21689,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,137206800.0,0,1,0,1,0,1,0,1,1,0
119,A21847,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,138502800.0,0,1,0,1,0,1,0,1,1,0
120,A22383,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,7,0.0,0,13.0,44.0,12178800.0,0,1,0,1,0,1,0,1,1,0
121,A22502,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,16329600.0,0,1,0,1,0,1,0,1,1,0
122,A2256,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,16333200.0,0,1,0,1,0,1,0,1,1,0
123,A22966,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,127094400.0,0,1,0,1,0,1,0,1,1,0
124,A23235,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12178800.0,0,1,0,1,0,1,0,1,1,0
125,A23326,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15807600.0,0,1,0,1,0,1,0,1,1,0
126,A23412,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,18.6,74.0,26089200.0,0,1,0,1,0,1,0,1,1,0
127,A23553,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14688000.0,0,1,0,1,0,1,0,1,1,0
128,A23639,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,17971200.0,0,1,0,1,0,1,0,1,1,0
129,A237,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,19702800.0,0,1,0,1,0,1,0,1,1,0
130,A23976,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,130809600.0,0,1,0,1,0,1,0,1,1,0
131,A24117,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,127008000.0,0,1,0,1,0,1,0,1,1,0
132,A24148,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11746800.0,0,1,0,1,0,1,0,1,1,0
133,A24192,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,18.6,74.0,20905200.0,0,1,0,1,0,1,0,1,1,0
134,A24333,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14598000.0,0,1,0,1,0,1,0,1,1,0
135,A24365,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,13.0,74.0,122256000.0,0,1,0,1,0,1,0,1,1,0
136,A2448,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,11.0,71.5,17974800.0,0,1,0,1,0,1,0,1,1,0
137,A24768,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11142000.0,0,1,0,1,0,1,0,1,1,0
138,A24798,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,9154800.0,0,1,0,1,0,1,0,1,1,0
139,A25003,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,7,0.0,0,13.0,44.0,76460400.0,0,1,0,1,0,1,0,1,1,0
140,A25263,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11228400.0,0,1,0,1,0,1,0,1,1,0
141,A25295,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,10623600.0,0,1,0,1,0,1,0,1,1,0
142,A25535,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,15033600.0,0,1,0,1,0,1,0,1,1,0
143,A25805,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,13388400.0,0,1,0,1,0,1,0,1,1,0
144,A2586,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,157,0.0,0,11.0,71.5,15555600.0,0,1,0,1,0,1,0,1,1,0
145,A26007,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,10018800.0,0,1,0,1,0,1,0,1,1,0
146,A26048,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,18.6,74.0,16326000.0,0,1,0,1,0,1,0,1,1,0
147,A26078,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,14511600.0,0,1,0,1,0,1,0,1,1,0
148,A26290,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,11142000.0,0,1,0,1,0,1,0,1,1,0
149,A26508,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,22633200.0,0,1,0,1,0,1,0,1,1,0
150,A26524,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,157,0.0,0,13.0,74.0,12524400.0,0,1,0,1,0,1,0,1,1,0
