,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
10,A43197,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,77.5,86227200.0,0,1,1,1,1,1,1,0,1,1,0
11,A434,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,157,0.0,0,71.5,84153600.0,0,1,1,1,1,1,1,0,1,1,0
12,C12357,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,12.91,158,0.0,0,125.19,50803200.0,0,1,1,1,1,1,1,0,1,1,0
13,C13063,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.43,193,0.0,0,1311.98,116038800.0,0,1,1,1,1,1,1,0,1,1,0
14,C15107,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,158,0.0,0,137.55,54003600.0,0,1,1,1,1,1,1,0,1,1,0
15,C18351,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,146,0.0,6,286.5,41040000.0,0,1,1,1,1,1,1,0,1,1,0
16,C18710,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,146,0.0,6,275.0,85104000.0,0,1,1,1,1,1,1,0,1,1,0
17,C18711,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,148,0.0,10,275.0,85104000.0,0,1,1,1,1,1,1,0,1,1,0
18,C20931,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,157,0.0,0,79.5,55036800.0,0,1,1,1,1,1,1,0,1,1,0
19,C22479,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,26.0,157,0.0,0,79.5,57542400.0,0,1,1,1,1,1,1,0,1,1,0
20,N101106,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,157,0.0,0,71.5,84326400.0,0,1,1,1,1,1,1,0,1,1,0
21,N21445,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,157,0.0,0,62.59,64710000.0,0,1,1,1,1,1,1,0,1,1,0
22,N23052,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,7,0.0,0,37.56,66697200.0,0,1,1,1,1,1,1,0,1,1,0
23,N24046,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,158,0.0,0,62.59,63590400.0,0,1,1,1,1,1,1,0,1,1,0
24,N24074,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,157,0.0,0,62.59,63072000.0,0,1,1,1,1,1,1,0,1,1,0
25,N24163,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,158,0.0,0,62.59,60825600.0,0,1,1,1,1,1,1,0,1,1,0
26,N24572,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,157,0.0,0,62.59,61430400.0,0,1,1,1,1,1,1,0,1,1,0
27,N36227,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,25.0,157,0.0,0,65.5,60825600.0,0,1,1,1,1,1,1,0,1,1,0
28,N40518,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,25.0,157,0.0,0,65.5,58838400.0,0,1,1,1,1,1,1,0,1,1,0
29,N42602,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,157,0.0,0,65.5,50374800.0,0,1,1,1,1,1,1,0,1,1,0
30,N44108,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,157,0.0,0,65.5,44845200.0,0,1,1,1,1,1,1,0,1,1,0
31,N45295,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,157,0.0,0,65.5,69555600.0,0,1,1,1,1,1,1,0,1,1,0
32,N45779,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,65.5,66700800.0,0,1,1,1,1,1,1,0,1,1,0
33,N50264,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,82170000.0,0,1,1,1,1,1,1,0,1,1,0
34,N50683,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,79405200.0,0,1,1,1,1,1,1,0,1,1,0
35,N51006,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,82256400.0,0,1,1,1,1,1,1,0,1,1,0
36,N52945,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,56336400.0,0,1,1,1,1,1,1,0,1,1,0
37,N53526,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,55818000.0,0,1,1,1,1,1,1,0,1,1,0
38,N56834,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,80096400.0,0,1,1,1,1,1,1,0,1,1,0
39,N60514,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,79923600.0,0,1,1,1,1,1,1,0,1,1,0
40,N63705,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,68.77,78800400.0,0,1,1,1,1,1,1,0,1,1,0
41,N77137,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,157,0.0,0,71.5,50979600.0,0,1,1,1,1,1,1,0,1,1,0
42,S122908,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,158,0.0,0,148.0,99100800.0,0,1,1,1,1,1,1,0,1,1,0
43,S167950,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,26.0,158,0.0,0,159.0,55641600.0,0,1,1,1,1,1,1,0,1,1,0
44,S170396,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,30.0,158,0.0,0,159.0,56505600.0,0,1,1,1,1,1,1,0,1,1,0
45,S52805,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,28.0,7,0.0,0,65.5,61776000.0,0,1,1,1,1,1,1,0,1,1,0
46,S72408,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,158,0.0,0,131.0,52534800.0,0,1,1,1,1,1,1,0,1,1,0
47,S73394,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,7,0.0,0,65.5,46054800.0,0,1,1,1,1,1,1,0,1,1,0
48,S77843,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,7,0.0,0,65.5,43894800.0,0,1,1,1,1,1,1,0,1,1,0
49,S82844,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,7,0.0,0,68.77,80182800.0,0,1,1,1,1,1,1,0,1,1,0
50,S85017,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,7,0.0,0,68.77,78195600.0,0,1,1,1,1,1,1,0,1,1,0
51,S98758,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,7,0.0,0,68.77,80701200.0,0,1,1,1,1,1,1,0,1,1,0
52,V10120,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,142,0.0,0,262.0,41475600.0,0,1,1,1,1,1,1,0,1,1,0
53,V10241,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,142,0.0,0,262.0,41389200.0,0,1,1,1,1,1,1,0,1,1,0
54,V11582,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,0.0,0,275.1,52966800.0,0,1,1,1,1,1,1,0,1,1,0
55,V11590,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,0.0,0,275.1,52966800.0,0,1,1,1,1,1,1,0,1,1,0
56,V11593,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,0.0,0,275.1,52966800.0,0,1,1,1,1,1,1,0,1,1,0
57,V12053,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,16.0,142,0.0,0,275.1,51670800.0,0,1,1,1,1,1,1,0,1,1,0
58,V16105,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,142,0.0,2,286.5,84067200.0,0,1,1,1,1,1,1,0,1,1,0
59,V16109,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,142,0.0,2,286.5,84067200.0,0,1,1,1,1,1,1,0,1,1,0
60,V16122,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,22.0,142,0.0,2,286.5,83980800.0,0,1,1,1,1,1,1,0,1,1,0
61,V3878,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,71362800.0,0,1,1,1,1,1,1,0,1,1,0
62,V3936,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,71190000.0,0,1,1,1,1,1,1,0,1,1,0
63,V4224,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,69375600.0,0,1,1,1,1,1,1,0,1,1,0
64,V4473,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,65055600.0,0,1,1,1,1,1,1,0,1,1,0
65,V4663,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,60307200.0,0,1,1,1,1,1,1,0,1,1,0
66,V4727,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,6.46,142,0.0,0,250.38,59356800.0,0,1,1,1,1,1,1,0,1,1,0
67,V4742,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,59356800.0,0,1,1,1,1,1,1,0,1,1,0
68,V4775,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,59270400.0,0,1,1,1,1,1,1,0,1,1,0
69,V4898,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,58579200.0,0,1,1,1,1,1,1,0,1,1,0
70,V5015,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,58492800.0,0,1,1,1,1,1,1,0,1,1,0
71,V5108,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,58060800.0,0,1,1,1,1,1,1,0,1,1,0
72,V5144,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,57974400.0,0,1,1,1,1,1,1,0,1,1,0
73,V5148,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,57974400.0,0,1,1,1,1,1,1,0,1,1,0
74,V5578,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,12.91,142,0.0,0,250.38,56764800.0,0,1,1,1,1,1,1,0,1,1,0
75,V8330,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.5,142,0.0,0,262.4,71110800.0,0,1,1,1,1,1,1,0,1,1,0
76,V8366,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,20.14,142,0.0,0,262.4,70765200.0,0,1,1,1,1,1,1,0,1,1,0
77,V8914,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,142,0.0,0,262.0,53398800.0,0,1,1,1,1,1,1,0,1,1,0
78,V9029,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,142,0.0,0,262.0,81219600.0,0,1,1,1,1,1,1,0,1,1,0
79,V9525,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,13.0,142,0.0,0,262.0,76208400.0,0,1,1,1,1,1,1,0,1,1,0
80,V9985,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,13.0,142,0.0,0,262.0,42339600.0,0,1,1,1,1,1,1,0,1,1,0
81,A15202,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,70.0,0,44.0,21340800.0,0,1,1,1,1,1,1,0,1,1,0
82,A16773,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,20221200.0,0,1,1,1,1,1,1,0,1,1,0
83,A27823,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,70.0,0,44.0,17283600.0,0,1,1,1,1,1,1,0,1,1,0
84,A32242,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,20998800.0,0,1,1,1,1,1,1,0,1,1,0
85,A33567,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,98.0,0,74.0,20912400.0,0,1,1,1,1,1,1,0,1,1,0
86,A36129,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,18054000.0,0,1,1,1,1,1,1,0,1,1,0
87,A43434,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,102.0,0,77.5,18147600.0,0,1,1,1,1,1,1,0,1,1,0
88,A7107,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,23065200.0,0,1,1,1,1,1,1,0,1,1,0
89,A8472,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,94.0,0,74.0,20905200.0,0,1,1,1,1,1,1,0,1,1,0
90,N101220,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,30412800.0,0,1,1,1,1,1,1,0,1,1,0
91,N23661,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,12.91,157,75.51,0,62.59,19177200.0,0,1,1,1,1,1,1,0,1,1,0
92,N23793,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,12.91,7,50.47,0,37.56,24454800.0,0,1,1,1,1,1,1,0,1,1,0
93,N24007,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,12.91,158,75.51,0,62.59,12956400.0,0,1,1,1,1,1,1,0,1,1,0
94,N24443,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,12.91,157,75.51,0,62.59,17884800.0,0,1,1,1,1,1,1,0,1,1,0
95,N41601,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,25.0,157,89.0,0,65.5,31968000.0,0,1,1,1,1,1,1,0,1,1,0
96,N42812,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,13.0,157,77.0,0,65.5,22381200.0,0,1,1,1,1,1,1,0,1,1,0
97,N42828,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,13.0,157,77.0,0,65.5,22550400.0,0,1,1,1,1,1,1,0,1,1,0
98,N43129,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,13.0,157,77.0,0,65.5,30844800.0,0,1,1,1,1,1,1,0,1,1,0
99,N43787,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,13.0,157,77.0,0,65.5,19098000.0,0,1,1,1,1,1,1,0,1,1,0
100,N45627,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,80.0,0,65.5,21337200.0,0,1,1,1,1,1,1,0,1,1,0
101,N45680,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,80.0,0,65.5,18658800.0,0,1,1,1,1,1,1,0,1,1,0
102,N46069,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,7,60.4,0,39.0,21682800.0,0,1,1,1,1,1,1,0,1,1,0
103,N47248,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,21.16,157,80.0,0,68.77,20559600.0,0,1,1,1,1,1,1,0,1,1,0
104,N47342,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,40777200.0,0,1,1,1,1,1,1,0,1,1,0
105,N50677,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,22636800.0,0,1,1,1,1,1,1,0,1,1,0
106,N55192,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,62208000.0,0,1,1,1,1,1,1,0,1,1,0
107,N56034,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.6,157,83.2,0,68.77,26352000.0,0,1,1,1,1,1,1,0,1,1,0
108,N56304,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,23850000.0,0,1,1,1,1,1,1,0,1,1,0
109,N57598,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,24364800.0,0,1,1,1,1,1,1,0,1,1,0
110,N60247,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,7,55.9,0,40.95,37933200.0,0,1,1,1,1,1,1,0,1,1,0
111,N60677,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,58406400.0,0,1,1,1,1,1,1,0,1,1,0
112,N61279,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,25488000.0,0,1,1,1,1,1,1,0,1,1,0
113,N62389,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,30412800.0,0,1,1,1,1,1,1,0,1,1,0
114,N65786,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,67482000.0,0,1,1,1,1,1,1,0,1,1,0
115,N67034,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,27903600.0,0,1,1,1,1,1,1,0,1,1,0
116,N67790,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,83.2,0,68.77,29980800.0,0,1,1,1,1,1,1,0,1,1,0
117,N70498,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,86.0,0,71.5,60393600.0,0,1,1,1,1,1,1,0,1,1,0
118,N72326,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,86.0,0,71.5,33350400.0,0,1,1,1,1,1,1,0,1,1,0
119,N82144,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,31104000.0,0,1,1,1,1,1,1,0,1,1,0
120,N82449,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,157,86.0,0,71.5,25056000.0,0,1,1,1,1,1,1,0,1,1,0
121,N83214,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,27907200.0,0,1,1,1,1,1,1,0,1,1,0
122,N86009,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,23328000.0,0,1,1,1,1,1,1,0,1,1,0
123,N94215,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,7,64.0,0,42.5,20480400.0,0,1,1,1,1,1,1,0,1,1,0
124,N94606,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,24282000.0,0,1,1,1,1,1,1,0,1,1,0
125,N94998,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,31190400.0,0,1,1,1,1,1,1,0,1,1,0
126,N95123,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,7,92.0,0,42.5,26092800.0,0,1,1,1,1,1,1,0,1,1,0
127,N97190,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,23932800.0,0,1,1,1,1,1,1,0,1,1,0
128,N98730,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,27129600.0,0,1,1,1,1,1,1,0,1,1,0
129,N98979,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,22726800.0,0,1,1,1,1,1,1,0,1,1,0
130,N99038,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,157,92.0,0,71.5,25833600.0,0,1,1,1,1,1,1,0,1,1,0
131,P1978,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,30.0,7,78.0,0,47.0,14691600.0,0,1,1,1,1,1,1,0,1,1,0
132,P568,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,74.0,0,47.0,17024400.0,0,1,1,1,1,1,1,0,1,1,0
133,S105159,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,16.0,7,86.0,0,71.5,22464000.0,0,1,1,1,1,1,1,0,1,1,0
134,S106503,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,7,92.0,0,71.5,29376000.0,0,1,1,1,1,1,1,0,1,1,0
135,S106562,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,158,92.0,0,71.5,56160000.0,0,1,1,1,1,1,1,0,1,1,0
136,S110740,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,7,92.0,0,71.5,18925200.0,0,1,1,1,1,1,1,0,1,1,0
137,S110987,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,22.0,7,92.0,0,71.5,25660800.0,0,1,1,1,1,1,1,0,1,1,0
138,S125225,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,15555600.0,0,1,1,1,1,1,1,0,1,1,0
139,S128062,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,98.0,0,74.0,16678800.0,0,1,1,1,1,1,1,0,1,1,0
140,S138847,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,102.0,0,77.5,24192000.0,0,1,1,1,1,1,1,0,1,1,0
141,S144527,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,158,182.0,2,155.5,47689200.0,0,1,1,1,1,1,1,0,1,1,0
142,S145785,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,158,102.0,0,77.5,22723200.0,0,1,1,1,1,1,1,0,1,1,0
143,S146434,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,26.0,7,102.0,0,77.5,12438000.0,0,1,1,1,1,1,1,0,1,1,0
144,S153410,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,157,102.0,0,77.5,16592400.0,0,1,1,1,1,1,1,0,1,1,0
145,S161865,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,104.0,0,79.5,19098000.0,0,1,1,1,1,1,1,0,1,1,0
146,S165670,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,26.0,7,104.0,0,79.5,14342400.0,0,1,1,1,1,1,1,0,1,1,0
