,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:notificationType@C,event:notificationType@P,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:dismissal@#,event:dismissal@D,event:dismissal@G,event:dismissal@NIL,event:expense,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge
14,A19721,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,23587200.0,0,1,0,1,0,1,0,0,1,1,0
15,A20555,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,21427200.0,0,1,0,1,0,1,0,0,1,1,0
16,A20789,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,110077200.0,0,1,0,1,0,1,0,0,1,1,0
17,A21536,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,7,0.0,0,74.0,22118400.0,0,1,0,1,0,1,0,0,1,1,0
18,A22164,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,7,0.0,0,44.0,20476800.0,0,1,0,1,0,1,0,0,1,1,0
19,A24521,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,14511600.0,0,1,0,1,0,1,0,0,1,1,0
20,A25160,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,118368000.0,0,1,0,1,0,1,0,0,1,1,0
21,A25432,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,13136400.0,0,1,0,1,0,1,0,0,1,1,0
22,A25624,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,24105600.0,0,1,0,1,0,1,0,0,1,1,0
23,A26077,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,20473200.0,0,1,0,1,0,1,0,0,1,1,0
24,A27161,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,7,0.0,0,44.0,43455600.0,0,1,0,1,0,1,0,0,1,1,0
25,A27946,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,14342400.0,0,1,0,1,0,1,0,0,1,1,0
26,A29371,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,113187600.0,0,1,0,1,0,1,0,0,1,1,0
27,A29395,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,112582800.0,0,1,0,1,0,1,0,0,1,1,0
28,A29792,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,110941200.0,0,1,0,1,0,1,0,0,1,1,0
29,A30126,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,59270400.0,0,1,0,1,0,1,0,0,1,1,0
30,A30459,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,110682000.0,0,1,0,1,0,1,0,0,1,1,0
31,A30520,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,77.5,22204800.0,0,1,0,1,0,1,0,0,1,1,0
32,A30630,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,13654800.0,0,1,0,1,0,1,0,0,1,1,0
33,A30719,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,59616000.0,0,1,0,1,0,1,0,0,1,1,0
34,A31441,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,74.0,23932800.0,0,1,0,1,0,1,0,0,1,1,0
35,A32212,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,158,0.0,0,74.0,17974800.0,0,1,0,1,0,1,0,0,1,1,0
36,A32424,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,7,0.0,0,44.0,17629200.0,0,1,0,1,0,1,0,0,1,1,0
37,A33135,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,108781200.0,0,1,0,1,0,1,0,0,1,1,0
38,A33389,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,18234000.0,0,1,0,1,0,1,0,0,1,1,0
39,A33571,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,7,0.0,0,74.0,108262800.0,0,1,0,1,0,1,0,0,1,1,0
40,A34464,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,16160400.0,0,1,0,1,0,1,0,0,1,1,0
41,A34810,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,74.0,19443600.0,0,1,0,1,0,1,0,0,1,1,0
42,A3504,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,158,0.0,0,143.0,20044800.0,0,1,0,1,0,1,0,0,1,1,0
43,A36789,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,74.0,27043200.0,0,1,0,1,0,1,0,0,1,1,0
44,A36823,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,92793600.0,0,1,0,1,0,1,0,0,1,1,0
45,A36850,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,87696000.0,0,1,0,1,0,1,0,0,1,1,0
46,A38631,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,90201600.0,0,1,0,1,0,1,0,0,1,1,0
47,A39068,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,89510400.0,0,1,0,1,0,1,0,0,1,1,0
48,A39137,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,87868800.0,0,1,0,1,0,1,0,0,1,1,0
49,A39146,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,87436800.0,0,1,0,1,0,1,0,0,1,1,0
50,A39779,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,77.5,20732400.0,0,1,0,1,0,1,0,0,1,1,0
51,A39893,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,84157200.0,0,1,0,1,0,1,0,0,1,1,0
52,A40001,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,77.5,17024400.0,0,1,0,1,0,1,0,0,1,1,0
53,A40817,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,88214400.0,0,1,0,1,0,1,0,0,1,1,0
54,A41052,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,84157200.0,0,1,0,1,0,1,0,0,1,1,0
55,A42271,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,84502800.0,0,1,0,1,0,1,0,0,1,1,0
56,A42545,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.5,157,0.0,0,77.5,82342800.0,0,1,0,1,0,1,0,0,1,1,0
57,A44356,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.5,157,0.0,0,77.5,22809600.0,0,1,0,1,0,1,0,0,1,1,0
58,A6136,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,16.6,157,0.0,0,71.5,33436800.0,0,1,0,1,0,1,0,0,1,1,0
59,A7664,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,71.5,157852800.0,0,1,0,1,0,1,0,0,1,1,0
60,A779,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,71.5,19180800.0,0,1,0,1,0,1,0,0,1,1,0
61,A903,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,158,0.0,2,143.0,19098000.0,0,1,0,1,0,1,0,0,1,1,0
62,A9052,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,13.0,157,0.0,0,74.0,20732400.0,0,1,0,1,0,1,0,0,1,1,0
63,A9178,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,13.0,157,0.0,0,74.0,24969600.0,0,1,0,1,0,1,0,0,1,1,0
64,C10440,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
65,C10441,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
66,C10442,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
67,C10443,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
68,C10444,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
69,C10445,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
70,C10446,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
71,C10454,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,655.99,8377200.0,0,1,0,1,0,1,0,0,1,1,0
72,C12269,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,6.71,171,0.0,0,62.59,16246800.0,0,1,0,1,0,1,0,0,1,1,0
73,C13735,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,193,0.0,0,1311.98,7779600.0,0,1,0,1,0,1,0,0,1,1,0
74,C13908,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,142,0.0,0,262.4,20217600.0,0,1,0,1,0,1,0,0,1,1,0
75,C15745,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,188,0.0,0,137.55,9676800.0,0,1,0,1,0,1,0,0,1,1,0
76,C15827,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,181,0.0,0,40.95,17622000.0,0,1,0,1,0,1,0,0,1,1,0
77,C16154,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,21,0.0,0,1377.07,12013200.0,0,1,0,1,0,1,0,0,1,1,0
78,C16242,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.0,180,0.0,0,68.77,16765200.0,0,1,0,1,0,1,0,0,1,1,0
79,C16464,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,688.27,11062800.0,0,1,0,1,0,1,0,0,1,1,0
80,C17195,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,275.1,222048000.0,0,1,0,1,0,1,0,0,1,1,0
81,C17832,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,116,0.0,0,716.5,210646800.0,0,1,0,1,0,1,0,0,1,1,0
82,C18104,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,193,0.0,0,1433.5,10026000.0,0,1,0,1,0,1,0,0,1,1,0
83,C18114,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,23,0.0,0,716.5,15296400.0,0,1,0,1,0,1,0,0,1,1,0
84,C18717,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,193,0.0,0,1433.5,171248400.0,0,1,0,1,0,1,0,0,1,1,0
85,C18757,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,286.5,10022400.0,0,1,0,1,0,1,0,0,1,1,0
86,C19090,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,23,0.0,0,716.5,168224400.0,0,1,0,1,0,1,0,0,1,1,0
87,C19292,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,18.6,21,0.0,0,1485.0,21686400.0,0,1,0,1,0,1,0,0,1,1,0
88,C19333,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,20,0.0,0,297.0,8470800.0,0,1,0,1,0,1,0,0,1,1,0
89,C19622,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,297.0,107139600.0,0,1,0,1,0,1,0,0,1,1,0
90,C19667,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.0,116,0.0,0,0.0,7776000.0,0,1,0,1,0,1,0,0,1,1,0
91,C19681,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,20,0.0,0,312.0,10198800.0,0,1,0,1,0,1,0,0,1,1,0
92,C19736,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,141,0.0,5,148.0,23500800.0,0,1,0,1,0,1,0,0,1,1,0
93,C20155,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0.0,172,0.0,5,142.5,11408400.0,0,1,0,1,0,1,0,0,1,1,0
94,C20571,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,172,0.0,5,149.5,12096000.0,0,1,0,1,0,1,0,0,1,1,0
95,C20591,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,20,0.0,0,312.0,8985600.0,0,1,0,1,0,1,0,0,1,1,0
96,C20717,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,173,0.0,5,297.0,80614800.0,0,1,0,1,0,1,0,0,1,1,0
97,C21297,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,172,0.0,5,149.5,7858800.0,0,1,0,1,0,1,0,0,1,1,0
98,C21364,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0.0,23,0.0,0,779.5,9414000.0,0,1,0,1,0,1,0,0,1,1,0
99,C21365,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,20,0.0,0,312.0,10364400.0,0,1,0,1,0,1,0,0,1,1,0
100,C21505,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0.0,143,0.0,0,312.0,12441600.0,0,1,0,1,0,1,0,0,1,1,0
101,C22048,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,15.0,23,0.0,0,798.0,9676800.0,0,1,0,1,0,1,0,0,1,1,0
102,C22391,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0.0,80,0.0,0,319.5,8208000.0,0,1,0,1,0,1,0,0,1,1,0
103,N100126,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,71.5,22467600.0,0,1,0,1,0,1,0,0,1,1,0
104,N101187,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,71.5,23328000.0,0,1,0,1,0,1,0,0,1,1,0
105,N22040,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.41,157,0.0,0,62.59,13734000.0,0,1,0,1,0,1,0,0,1,1,0
106,N22770,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.46,157,0.0,0,62.59,14252400.0,0,1,0,1,0,1,0,0,1,1,0
107,N23220,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.41,157,0.0,0,62.59,15724800.0,0,1,0,1,0,1,0,0,1,1,0
108,N25578,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.46,157,0.0,0,62.59,11059200.0,0,1,0,1,0,1,0,0,1,1,0
109,N26119,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.62,7,0.0,0,37.56,20221200.0,0,1,0,1,0,1,0,0,1,1,0
110,N26279,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.46,7,0.0,0,37.56,11318400.0,0,1,0,1,0,1,0,0,1,1,0
111,N26977,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.71,157,0.0,0,62.59,13222800.0,0,1,0,1,0,1,0,0,1,1,0
112,N27291,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.46,157,0.0,0,62.59,11235600.0,0,1,0,1,0,1,0,0,1,1,0
113,N27554,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.46,7,0.0,0,37.56,12272400.0,0,1,0,1,0,1,0,0,1,1,0
114,N27688,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.46,7,0.0,0,37.56,14000400.0,0,1,0,1,0,1,0,0,1,1,0
115,N32357,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6.71,157,0.0,0,65.6,13910400.0,0,1,0,1,0,1,0,0,1,1,0
116,N34800,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,157,0.0,0,65.6,17715600.0,0,1,0,1,0,1,0,0,1,1,0
117,N35285,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,157,0.0,0,65.6,17283600.0,0,1,0,1,0,1,0,0,1,1,0
118,N35713,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,7,0.0,0,39.36,20221200.0,0,1,0,1,0,1,0,0,1,1,0
119,N36264,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,157,0.0,0,65.6,15382800.0,0,1,0,1,0,1,0,0,1,1,0
120,N36503,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,10.0,157,0.0,0,65.6,31017600.0,0,1,0,1,0,1,0,0,1,1,0
121,N37002,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,157,0.0,0,65.6,12877200.0,0,1,0,1,0,1,0,0,1,1,0
122,N38155,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,6.71,157,0.0,0,65.6,12704400.0,0,1,0,1,0,1,0,0,1,1,0
123,N40194,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,10.0,157,0.0,0,65.5,14601600.0,0,1,0,1,0,1,0,0,1,1,0
124,N42691,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,10.0,157,0.0,0,65.5,11926800.0,0,1,0,1,0,1,0,0,1,1,0
125,N44615,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,10.0,157,0.0,0,65.5,12704400.0,0,1,0,1,0,1,0,0,1,1,0
126,N47200,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,15.16,157,0.0,0,68.77,22118400.0,0,1,0,1,0,1,0,0,1,1,0
127,N48756,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,15.16,157,0.0,0,68.77,17888400.0,0,1,0,1,0,1,0,0,1,1,0
128,N50103,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,10.0,157,0.0,0,68.77,265251600.0,0,1,0,1,0,1,0,0,1,1,0
129,N53105,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,18234000.0,0,1,0,1,0,1,0,0,1,1,0
130,N55892,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,237430800.0,0,1,0,1,0,1,0,0,1,1,0
131,N56453,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,22554000.0,0,1,0,1,0,1,0,0,1,1,0
132,N57572,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,22464000.0,0,1,0,1,0,1,0,0,1,1,0
133,N57666,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,235789200.0,0,1,0,1,0,1,0,0,1,1,0
134,N59698,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,233974800.0,0,1,0,1,0,1,0,0,1,1,0
135,N60317,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,17370000.0,0,1,0,1,0,1,0,0,1,1,0
136,N62675,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,11.0,157,0.0,0,68.77,231555600.0,0,1,0,1,0,1,0,0,1,1,0
137,N63001,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,22032000.0,0,1,0,1,0,1,0,0,1,1,0
138,N65985,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,23068800.0,0,1,0,1,0,1,0,0,1,1,0
139,N66645,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,157,0.0,0,68.77,225594000.0,0,1,0,1,0,1,0,0,1,1,0
140,N67266,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,39744000.0,0,1,0,1,0,1,0,0,1,1,0
141,N68005,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,16.6,157,0.0,0,68.77,21942000.0,0,1,0,1,0,1,0,0,1,1,0
142,N68736,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,11.0,157,0.0,0,68.77,24966000.0,0,1,0,1,0,1,0,0,1,1,0
