,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
16744,Application_1662795116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12000.0,5415421.870000124,2,62 days 16:17:02,0,62,40512.11466313284,141792338.67891946
18281,Application_1479572731,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42000.0,6253176.694000006,3,72 days 08:59:37,0,72,40512.11466313284,141792338.67891946
18951,Application_1358901285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5417372.7430000305,3,62 days 16:49:33,0,62,40512.11466313284,141792338.67891946
20044,Application_1836313442,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75000.0,5455205.8740000725,2,63 days 03:20:06,0,63,40512.11466313284,141792338.67891946
21747,Application_114551747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,8482263.058000088,2,98 days 04:11:03,0,98,40512.11466313284,141792338.67891946
21808,Application_2090544740,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7500.0,6193471.541999817,3,71 days 16:24:32,0,71,40512.11466313284,141792338.67891946
23899,Application_1828802183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,6461698.467000008,3,74 days 18:54:58,0,74,40512.11466313284,141792338.67891946
24367,Application_1656791018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,9078822.86800003,4,105 days 01:53:43,0,105,40512.11466313284,141792338.67891946
24517,Application_90621717,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,5953739.359999895,2,68 days 21:48:59,0,68,40512.11466313284,141792338.67891946
24848,Application_268406883,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5914666.68900013,4,68 days 10:57:47,0,68,40512.11466313284,141792338.67891946
25015,Application_1531707627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,6321204.7649998665,2,73 days 03:53:25,0,73,40512.11466313284,141792338.67891946
26764,Application_729494720,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5413806.698000193,3,62 days 15:50:07,0,62,40512.11466313284,141792338.67891946
26809,Application_1777155847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45000.0,7102612.503000021,2,82 days 04:56:53,0,82,40512.11466313284,141792338.67891946
27848,Application_856904799,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75000.0,5407055.512000084,3,62 days 13:57:36,0,62,40512.11466313284,141792338.67891946
28014,Application_989790181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5786447.585999966,3,66 days 23:20:48,0,66,40512.11466313284,141792338.67891946
28186,Application_62072340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5563658.163000107,4,64 days 09:27:38,0,64,40512.11466313284,141792338.67891946
