,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
10978,Application_1287309755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28000.0,5483981.697000027,2,63 days 11:19:42,39351.69821085002,177082534.34012944
11335,Application_412734994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,5607223.153000116,2,64 days 21:33:43,39351.69821085002,177082534.34012944
11358,Application_361574072,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,9742128.125,2,112 days 18:08:48,39351.69821085002,177082534.34012944
12473,Application_496184615,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,51000.0,6201091.731000185,2,71 days 18:31:32,39351.69821085002,177082534.34012944
12481,Application_614682130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,51000.0,8695537.836999893,2,100 days 15:25:38,39351.69821085002,177082534.34012944
13106,Application_674937485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35000.0,7257832.411000013,2,84 days 00:03:52,39351.69821085002,177082534.34012944
15360,Application_2118939990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17500.0,5166062.095000029,2,59 days 19:01:02,39351.69821085002,177082534.34012944
15409,Application_265750243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18000.0,5151250.437999964,2,59 days 14:54:10,39351.69821085002,177082534.34012944
16465,Application_1779124169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,5360073.351000071,2,62 days 00:54:33,39351.69821085002,177082534.34012944
16913,Application_19986585,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,45000.0,5617880.8759999275,2,65 days 00:31:21,39351.69821085002,177082534.34012944
17048,Application_2070946605,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,5424861.319999933,2,62 days 18:54:21,39351.69821085002,177082534.34012944
17454,Application_1757054700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5144709.15199995,2,59 days 13:05:09,39351.69821085002,177082534.34012944
17554,Application_1425329540,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30000.0,7841480.08100009,2,90 days 18:11:20,39351.69821085002,177082534.34012944
18189,Application_547842527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17000.0,8728804.747999907,2,101 days 00:40:05,39351.69821085002,177082534.34012944
19419,Application_35950487,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35000.0,5529358.132999897,2,63 days 23:55:58,39351.69821085002,177082534.34012944
19520,Application_768333251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32500.0,5336799.463000059,2,61 days 18:26:39,39351.69821085002,177082534.34012944
19878,Application_2146875573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75000.0,5150273.213000059,2,59 days 14:37:53,39351.69821085002,177082534.34012944
20044,Application_1836313442,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75000.0,5455205.8740000725,2,63 days 03:20:06,39351.69821085002,177082534.34012944
20050,Application_2084907175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,9928515.598999977,2,114 days 21:55:16,39351.69821085002,177082534.34012944
20474,Application_373627092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37000.0,5168786.784000158,2,59 days 19:46:27,39351.69821085002,177082534.34012944
21747,Application_114551747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,8482263.058000088,2,98 days 04:11:03,39351.69821085002,177082534.34012944
22177,Application_260635392,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35000.0,5587500.578999996,2,64 days 16:05:01,39351.69821085002,177082534.34012944
23200,Application_659941685,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,5304605.711999893,2,61 days 09:30:06,39351.69821085002,177082534.34012944
23864,Application_461173805,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22000.0,5450085.900000095,2,63 days 01:54:46,39351.69821085002,177082534.34012944
24780,Application_1707866152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,74484.0,7255969.855999947,2,83 days 23:32:50,39351.69821085002,177082534.34012944
25015,Application_1531707627,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,6321204.7649998665,2,73 days 03:53:25,39351.69821085002,177082534.34012944
25169,Application_1838195672,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37500.0,5150109.532999992,2,59 days 14:35:10,39351.69821085002,177082534.34012944
25295,Application_1978331738,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20000.0,5494098.441000223,2,63 days 14:08:18,39351.69821085002,177082534.34012944
25610,Application_1292771933,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5154718.328000069,2,59 days 15:51:58,39351.69821085002,177082534.34012944
26809,Application_1777155847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,45000.0,7102612.503000021,2,82 days 04:56:53,39351.69821085002,177082534.34012944
28334,Application_1437553493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29000.0,5134236.180999994,2,59 days 10:10:36,39351.69821085002,177082534.34012944
28371,Application_1158368771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,5344595.279000044,2,61 days 20:36:35,39351.69821085002,177082534.34012944
28486,Application_7606451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5242157.393000126,2,60 days 16:09:17,39351.69821085002,177082534.34012944
28574,Application_970965406,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,75000.0,5192868.588999987,2,60 days 02:27:49,39351.69821085002,177082534.34012944
29015,Application_1932919770,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75000.0,5154518.606999874,2,59 days 15:48:39,39351.69821085002,177082534.34012944
